facility_name,facility_id,state,measure_name,number_of_discharges,footnote,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_readmissions,start_date,end_date
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2016-07-01,2019-06-30
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-PN-HRRP,,5.0,,,,,2016-07-01,2019-06-30
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-AMI-HRRP,,5.0,,,,,2016-07-01,2019-06-30
HELEN KELLER HOSPITAL,10019,AL,READM-30-CABG-HRRP,,5.0,,,,,2016-07-01,2019-06-30
HELEN KELLER HOSPITAL,10019,AL,READM-30-COPD-HRRP,419.0,nan,1.0663,18.0389,16.9167,81.0,2016-07-01,2019-06-30
HELEN KELLER HOSPITAL,10019,AL,READM-30-PN-HRRP,397.0,nan,0.9689,14.3916,14.8534,55.0,2016-07-01,2019-06-30
HELEN KELLER HOSPITAL,10019,AL,READM-30-AMI-HRRP,,1.0,,,,,2016-07-01,2019-06-30
HELEN KELLER HOSPITAL,10019,AL,READM-30-HF-HRRP,375.0,nan,0.9281,19.1377,20.6203,67.0,2016-07-01,2019-06-30
HELEN KELLER HOSPITAL,10019,AL,READM-30-HIP-KNEE-HRRP,398.0,nan,1.1959,4.4483,3.7197,21.0,2016-07-01,2019-06-30
DALE MEDICAL CENTER,10021,AL,READM-30-AMI-HRRP,,1.0,,,,,2016-07-01,2019-06-30
DALE MEDICAL CENTER,10021,AL,READM-30-CABG-HRRP,,5.0,,,,,2016-07-01,2019-06-30
DALE MEDICAL CENTER,10021,AL,READM-30-COPD-HRRP,98.0,nan,0.9481,16.8065,17.7273,12.0,2016-07-01,2019-06-30
DALE MEDICAL CENTER,10021,AL,READM-30-PN-HRRP,97.0,nan,0.9938,14.8665,14.9596,14.0,2016-07-01,2019-06-30
DALE MEDICAL CENTER,10021,AL,READM-30-HF-HRRP,80.0,nan,1.0011,21.1624,21.1395,17.0,2016-07-01,2019-06-30
DALE MEDICAL CENTER,10021,AL,READM-30-HIP-KNEE-HRRP,,1.0,,,,,2016-07-01,2019-06-30
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-AMI-HRRP,,1.0,,,,,2016-07-01,2019-06-30
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-HF-HRRP,,1.0,,,,,2016-07-01,2019-06-30
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-COPD-HRRP,,nan,0.9681,15.4548,15.9636,,2016-07-01,2019-06-30
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-PN-HRRP,,nan,1.0074,14.7878,14.6792,,2016-07-01,2019-06-30
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2016-07-01,2019-06-30
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-CABG-HRRP,,5.0,,,,,2016-07-01,2019-06-30
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-AMI-HRRP,331.0,nan,1.0627,17.6468,16.6053,62.0,2016-07-01,2019-06-30
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-HIP-KNEE-HRRP,547.0,nan,0.9461,3.8425,4.0612,20.0,2016-07-01,2019-06-30
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-CABG-HRRP,,nan,0.9434,10.7747,11.4213,,2016-07-01,2019-06-30
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-HF-HRRP,577.0,nan,0.9656,21.5416,22.3096,122.0,2016-07-01,2019-06-30
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-COPD-HRRP,231.0,nan,1.0529,23.0818,21.922,58.0,2016-07-01,2019-06-30
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-PN-HRRP,216.0,nan,1.0365,17.8136,17.1871,41.0,2016-07-01,2019-06-30
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-HIP-KNEE-HRRP,,nan,0.9313,3.5093,3.7681,,2016-07-01,2019-06-30
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-CABG-HRRP,159.0,nan,1.13,14.5128,12.8428,26.0,2016-07-01,2019-06-30
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-AMI-HRRP,249.0,nan,1.1027,17.386,15.7671,49.0,2016-07-01,2019-06-30
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-HF-HRRP,511.0,nan,1.1512,24.7724,21.5179,136.0,2016-07-01,2019-06-30
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-COPD-HRRP,314.0,nan,1.0003,19.0994,19.0933,60.0,2016-07-01,2019-06-30
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-PN-HRRP,435.0,nan,1.0908,18.3587,16.8307,86.0,2016-07-01,2019-06-30
EAST ALABAMA MEDICAL CENTER AND SNF,10029,AL,READM-30-HIP-KNEE-HRRP,679.0,nan,1.2778,5.0757,3.9722,39.0,2016-07-01,2019-06-30
EAST ALABAMA MEDICAL CENTER AND SNF,10029,AL,READM-30-CABG-HRRP,,nan,0.8483,9.9141,11.6865,,2016-07-01,2019-06-30
EAST ALABAMA MEDICAL CENTER AND SNF,10029,AL,READM-30-COPD-HRRP,470.0,nan,0.9645,18.7526,19.4433,85.0,2016-07-01,2019-06-30
EAST ALABAMA MEDICAL CENTER AND SNF,10029,AL,READM-30-AMI-HRRP,249.0,nan,0.9787,14.5463,14.8636,35.0,2016-07-01,2019-06-30
EAST ALABAMA MEDICAL CENTER AND SNF,10029,AL,READM-30-HF-HRRP,705.0,nan,1.0423,21.7462,20.863,156.0,2016-07-01,2019-06-30
EAST ALABAMA MEDICAL CENTER AND SNF,10029,AL,READM-30-PN-HRRP,484.0,nan,0.9749,15.6485,16.0507,74.0,2016-07-01,2019-06-30
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-AMI-HRRP,362.0,nan,0.9955,17.476,17.5542,63.0,2016-07-01,2019-06-30
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-HIP-KNEE-HRRP,184.0,nan,1.1877,4.781,4.0253,12.0,2016-07-01,2019-06-30
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-HF-HRRP,930.0,nan,1.0758,24.2055,22.5004,230.0,2016-07-01,2019-06-30
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-COPD-HRRP,271.0,nan,0.9835,19.7262,20.0565,52.0,2016-07-01,2019-06-30
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-CABG-HRRP,296.0,nan,1.1316,16.5462,14.6217,52.0,2016-07-01,2019-06-30
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-PN-HRRP,571.0,nan,1.0727,18.9167,17.6353,113.0,2016-07-01,2019-06-30
COMMUNITY HOSPITAL INC,10034,AL,READM-30-AMI-HRRP,,1.0,,,,,2016-07-01,2019-06-30
COMMUNITY HOSPITAL INC,10034,AL,READM-30-HF-HRRP,83.0,nan,0.9846,19.2535,19.5537,15.0,2016-07-01,2019-06-30
COMMUNITY HOSPITAL INC,10034,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2016-07-01,2019-06-30
COMMUNITY HOSPITAL INC,10034,AL,READM-30-COPD-HRRP,,nan,0.9542,16.7869,17.5923,,2016-07-01,2019-06-30
COMMUNITY HOSPITAL INC,10034,AL,READM-30-PN-HRRP,,nan,1.0061,14.5664,14.4784,,2016-07-01,2019-06-30
COMMUNITY HOSPITAL INC,10034,AL,READM-30-CABG-HRRP,,5.0,,,,,2016-07-01,2019-06-30
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-PN-HRRP,549.0,nan,1.1131,17.2303,15.4792,102.0,2016-07-01,2019-06-30
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-HIP-KNEE-HRRP,,nan,0.955,4.0243,4.2137,,2016-07-01,2019-06-30
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-CABG-HRRP,,5.0,,,,,2016-07-01,2019-06-30
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-AMI-HRRP,116.0,nan,1.0264,15.1065,14.7183,19.0,2016-07-01,2019-06-30
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-HF-HRRP,638.0,nan,1.0564,21.2332,20.1,139.0,2016-07-01,2019-06-30
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-COPD-HRRP,332.0,nan,1.0669,18.5208,17.3587,67.0,2016-07-01,2019-06-30
ANDALUSIA HEALTH,10036,AL,READM-30-AMI-HRRP,,nan,0.9878,21.7934,22.0635,,2016-07-01,2019-06-30
ANDALUSIA HEALTH,10036,AL,READM-30-CABG-HRRP,,5.0,,,,,2016-07-01,2019-06-30
ANDALUSIA HEALTH,10036,AL,READM-30-COPD-HRRP,258.0,nan,1.0114,19.7688,19.5454,52.0,2016-07-01,2019-06-30
ANDALUSIA HEALTH,10036,AL,READM-30-HF-HRRP,267.0,nan,0.9556,20.9525,21.925,53.0,2016-07-01,2019-06-30
ANDALUSIA HEALTH,10036,AL,READM-30-HIP-KNEE-HRRP,,nan,1.0688,4.9601,4.641,,2016-07-01,2019-06-30
ANDALUSIA HEALTH,10036,AL,READM-30-PN-HRRP,270.0,nan,0.9691,15.2384,15.7241,39.0,2016-07-01,2019-06-30
STRINGFELLOW MEMORIAL HOSPITAL,10038,AL,READM-30-AMI-HRRP,,nan,0.9664,15.7149,16.261,,2016-07-01,2019-06-30
STRINGFELLOW MEMORIAL HOSPITAL,10038,AL,READM-30-CABG-HRRP,,5.0,,,,,2016-07-01,2019-06-30
STRINGFELLOW MEMORIAL HOSPITAL,10038,AL,READM-30-COPD-HRRP,255.0,nan,0.909,15.6716,17.2409,32.0,2016-07-01,2019-06-30
STRINGFELLOW MEMORIAL HOSPITAL,10038,AL,READM-30-HF-HRRP,124.0,nan,1.0931,22.7148,20.7797,34.0,2016-07-01,2019-06-30
STRINGFELLOW MEMORIAL HOSPITAL,10038,AL,READM-30-HIP-KNEE-HRRP,,nan,1.2539,4.9319,3.9332,,2016-07-01,2019-06-30
STRINGFELLOW MEMORIAL HOSPITAL,10038,AL,READM-30-PN-HRRP,121.0,nan,0.9638,14.4509,14.9941,15.0,2016-07-01,2019-06-30
HUNTSVILLE HOSPITAL,10039,AL,READM-30-CABG-HRRP,461.0,nan,0.9478,11.7666,12.4141,53.0,2016-07-01,2019-06-30
HUNTSVILLE HOSPITAL,10039,AL,READM-30-AMI-HRRP,1147.0,nan,0.9256,13.3677,14.4426,149.0,2016-07-01,2019-06-30
HUNTSVILLE HOSPITAL,10039,AL,READM-30-COPD-HRRP,1334.0,nan,1.098,21.1223,19.2377,290.0,2016-07-01,2019-06-30
HUNTSVILLE HOSPITAL,10039,AL,READM-30-PN-HRRP,1678.0,nan,1.0685,17.483,16.3622,298.0,2016-07-01,2019-06-30
HUNTSVILLE HOSPITAL,10039,AL,READM-30-HIP-KNEE-HRRP,1544.0,nan,1.1987,4.5766,3.8179,74.0,2016-07-01,2019-06-30
HUNTSVILLE HOSPITAL,10039,AL,READM-30-HF-HRRP,1800.0,nan,0.9887,21.5411,21.7873,387.0,2016-07-01,2019-06-30
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-AMI-HRRP,241.0,nan,1.0978,18.0588,16.4503,49.0,2016-07-01,2019-06-30
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-CABG-HRRP,108.0,nan,0.9767,13.4826,13.8045,14.0,2016-07-01,2019-06-30
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-COPD-HRRP,395.0,nan,1.0499,21.4305,20.4117,89.0,2016-07-01,2019-06-30
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-HF-HRRP,428.0,nan,1.1439,27.5027,24.0434,127.0,2016-07-01,2019-06-30
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-HIP-KNEE-HRRP,444.0,nan,1.1188,4.9348,4.4107,24.0,2016-07-01,2019-06-30
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-PN-HRRP,582.0,nan,1.0505,18.6421,17.7457,112.0,2016-07-01,2019-06-30
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-CABG-HRRP,,5.0,,,,,2016-07-01,2019-06-30
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-COPD-HRRP,129.0,nan,0.9815,16.7096,17.0246,20.0,2016-07-01,2019-06-30
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-AMI-HRRP,,1.0,,,,,2016-07-01,2019-06-30
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-PN-HRRP,179.0,nan,0.9593,13.2731,13.836,21.0,2016-07-01,2019-06-30
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-HF-HRRP,,nan,0.902,16.0657,17.8114,,2016-07-01,2019-06-30
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2016-07-01,2019-06-30
FAYETTE MEDICAL CENTER,10045,AL,READM-30-HF-HRRP,,nan,0.9509,20.5855,21.6493,,2016-07-01,2019-06-30
FAYETTE MEDICAL CENTER,10045,AL,READM-30-CABG-HRRP,,5.0,,,,,2016-07-01,2019-06-30
FAYETTE MEDICAL CENTER,10045,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2016-07-01,2019-06-30
FAYETTE MEDICAL CENTER,10045,AL,READM-30-AMI-HRRP,0.0,7.0,,,,,2016-07-01,2019-06-30
FAYETTE MEDICAL CENTER,10045,AL,READM-30-COPD-HRRP,109.0,nan,0.9977,18.5276,18.5698,20.0,2016-07-01,2019-06-30
FAYETTE MEDICAL CENTER,10045,AL,READM-30-PN-HRRP,101.0,nan,0.96,15.6349,16.2862,13.0,2016-07-01,2019-06-30
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-COPD-HRRP,278.0,nan,1.0408,20.6796,19.8698,61.0,2016-07-01,2019-06-30
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-CABG-HRRP,,1.0,,,,,2016-07-01,2019-06-30
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-AMI-HRRP,78.0,nan,1.1085,17.9573,16.1992,20.0,2016-07-01,2019-06-30
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-HIP-KNEE-HRRP,,nan,0.977,5.1668,5.2886,,2016-07-01,2019-06-30
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-HF-HRRP,376.0,nan,1.0623,24.9772,23.513,98.0,2016-07-01,2019-06-30
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-PN-HRRP,394.0,nan,1.1588,20.9223,18.0552,93.0,2016-07-01,2019-06-30
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-CABG-HRRP,,5.0,,,,,2016-07-01,2019-06-30
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-PN-HRRP,151.0,nan,1.0114,14.0695,13.9113,22.0,2016-07-01,2019-06-30
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-COPD-HRRP,170.0,nan,0.9372,15.4985,16.5375,21.0,2016-07-01,2019-06-30
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-AMI-HRRP,,1.0,,,,,2016-07-01,2019-06-30
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-HF-HRRP,115.0,nan,1.0643,21.7236,20.4112,29.0,2016-07-01,2019-06-30
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-HIP-KNEE-HRRP,,nan,0.863,3.4377,3.9833,,2016-07-01,2019-06-30
GREENE COUNTY HOSPITAL,10051,AL,READM-30-CABG-HRRP,,5.0,,,,,2016-07-01,2019-06-30
GREENE COUNTY HOSPITAL,10051,AL,READM-30-COPD-HRRP,,1.0,,,,,2016-07-01,2019-06-30
GREENE COUNTY HOSPITAL,10051,AL,READM-30-PN-HRRP,,1.0,,,,,2016-07-01,2019-06-30
GREENE COUNTY HOSPITAL,10051,AL,READM-30-HF-HRRP,,1.0,,,,,2016-07-01,2019-06-30
GREENE COUNTY HOSPITAL,10051,AL,READM-30-AMI-HRRP,0.0,7.0,,,,,2016-07-01,2019-06-30
GREENE COUNTY HOSPITAL,10051,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2016-07-01,2019-06-30
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2016-07-01,2019-06-30
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-AMI-HRRP,,1.0,,,,,2016-07-01,2019-06-30
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-PN-HRRP,100.0,nan,1.0033,15.7764,15.7246,16.0,2016-07-01,2019-06-30
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-COPD-HRRP,72.0,nan,1.0283,21.5716,20.9787,18.0,2016-07-01,2019-06-30
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-CABG-HRRP,,5.0,,,,,2016-07-01,2019-06-30
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-HF-HRRP,,1.0,,,,,2016-07-01,2019-06-30
FLOWERS HOSPITAL,10055,AL,READM-30-HIP-KNEE-HRRP,555.0,nan,1.1033,4.1792,3.7879,25.0,2016-07-01,2019-06-30
FLOWERS HOSPITAL,10055,AL,READM-30-CABG-HRRP,,nan,0.9551,10.8968,11.4087,,2016-07-01,2019-06-30
FLOWERS HOSPITAL,10055,AL,READM-30-COPD-HRRP,388.0,nan,1.0496,19.7917,18.8569,81.0,2016-07-01,2019-06-30
FLOWERS HOSPITAL,10055,AL,READM-30-AMI-HRRP,319.0,nan,0.8552,12.1028,14.1514,30.0,2016-07-01,2019-06-30
FLOWERS HOSPITAL,10055,AL,READM-30-HF-HRRP,546.0,nan,0.9799,20.5687,20.99,111.0,2016-07-01,2019-06-30
FLOWERS HOSPITAL,10055,AL,READM-30-PN-HRRP,531.0,nan,1.0014,15.424,15.4018,82.0,2016-07-01,2019-06-30
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-COPD-HRRP,306.0,nan,0.9815,18.832,19.1874,56.0,2016-07-01,2019-06-30
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-HF-HRRP,466.0,nan,0.9354,19.5927,20.9463,87.0,2016-07-01,2019-06-30
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-PN-HRRP,594.0,nan,1.0024,15.797,15.7592,94.0,2016-07-01,2019-06-30
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-AMI-HRRP,233.0,nan,0.9942,15.5937,15.6845,36.0,2016-07-01,2019-06-30
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-HIP-KNEE-HRRP,1611.0,nan,1.0877,3.8771,3.5644,64.0,2016-07-01,2019-06-30
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-CABG-HRRP,102.0,nan,1.1132,14.1572,12.7179,17.0,2016-07-01,2019-06-30
BIBB MEDICAL CENTER,10058,AL,READM-30-CABG-HRRP,,5.0,,,,,2016-07-01,2019-06-30
BIBB MEDICAL CENTER,10058,AL,READM-30-AMI-HRRP,,1.0,,,,,2016-07-01,2019-06-30
BIBB MEDICAL CENTER,10058,AL,READM-30-COPD-HRRP,,1.0,,,,,2016-07-01,2019-06-30
BIBB MEDICAL CENTER,10058,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2016-07-01,2019-06-30
BIBB MEDICAL CENTER,10058,AL,READM-30-HF-HRRP,,nan,0.9403,18.9727,20.1783,,2016-07-01,2019-06-30
BIBB MEDICAL CENTER,10058,AL,READM-30-PN-HRRP,75.0,nan,1.0106,16.3615,16.1905,13.0,2016-07-01,2019-06-30
