facility_name,facility_id,state,measure_name,number_of_discharges,footnote,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_readmissions,start_date,end_date
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-PN-HRRP,,nan,0.9804,14.3119,14.598,,2019-07-01,2022-06-30
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-HIP-KNEE-HRRP,,nan,0.9918,4.3361,4.3719,,2019-07-01,2022-06-30
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-COPD-HRRP,,nan,1.0329,17.5235,16.9657,,2019-07-01,2022-06-30
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-COPD-HRRP,,1.0,,,,,2019-07-01,2022-06-30
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2019-07-01,2022-06-30
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-HF-HRRP,,1.0,,,,,2019-07-01,2022-06-30
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-PN-HRRP,,1.0,,,,,2019-07-01,2022-06-30
CRENSHAW COMMUNITY HOSPITAL,10008,AL,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
ST. VINCENT'S EAST,10011,AL,READM-30-AMI-HRRP,127.0,nan,0.9969,11.9288,11.9664,15.0,2019-07-01,2022-06-30
ST. VINCENT'S EAST,10011,AL,READM-30-HIP-KNEE-HRRP,,nan,0.9949,3.9895,4.0099,,2019-07-01,2022-06-30
ST. VINCENT'S EAST,10011,AL,READM-30-COPD-HRRP,,nan,1.0203,18.5304,18.1622,,2019-07-01,2022-06-30
ST. VINCENT'S EAST,10011,AL,READM-30-PN-HRRP,309.0,nan,1.05,17.6813,16.8389,58.0,2019-07-01,2022-06-30
ST. VINCENT'S EAST,10011,AL,READM-30-CABG-HRRP,64.0,nan,1.153,12.495,10.8369,12.0,2019-07-01,2022-06-30
ST. VINCENT'S EAST,10011,AL,READM-30-HF-HRRP,251.0,nan,0.9971,19.9965,20.0544,50.0,2019-07-01,2022-06-30
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-COPD-HRRP,,1.0,,,,,2019-07-01,2022-06-30
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-HF-HRRP,82.0,nan,0.9856,18.2175,18.4834,14.0,2019-07-01,2022-06-30
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-PN-HRRP,151.0,nan,0.9781,14.2085,14.526,20.0,2019-07-01,2022-06-30
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-HIP-KNEE-HRRP,,nan,0.922,3.2836,3.5615,,2019-07-01,2022-06-30
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-AMI-HRRP,,nan,1.0426,11.2386,10.7794,,2019-07-01,2022-06-30
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-PN-HRRP,168.0,nan,1.0081,17.5256,17.3839,30.0,2019-07-01,2022-06-30
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-CABG-HRRP,,nan,1.1156,13.0454,11.6937,,2019-07-01,2022-06-30
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-COPD-HRRP,,nan,0.9686,19.5372,20.1697,,2019-07-01,2022-06-30
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-HIP-KNEE-HRRP,,nan,1.1085,5.3694,4.8437,,2019-07-01,2022-06-30
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-AMI-HRRP,72.0,nan,1.038,14.1322,13.6152,12.0,2019-07-01,2022-06-30
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-HF-HRRP,186.0,nan,0.9745,20.2796,20.81,36.0,2019-07-01,2022-06-30
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-PN-HRRP,,5.0,,,,,2019-07-01,2022-06-30
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2019-07-01,2022-06-30
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-HF-HRRP,,5.0,,,,,2019-07-01,2022-06-30
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-COPD-HRRP,,5.0,,,,,2019-07-01,2022-06-30
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-AMI-HRRP,,5.0,,,,,2019-07-01,2022-06-30
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
HELEN KELLER HOSPITAL,10019,AL,READM-30-HIP-KNEE-HRRP,,nan,1.041,3.6031,3.4611,,2019-07-01,2022-06-30
HELEN KELLER HOSPITAL,10019,AL,READM-30-HF-HRRP,208.0,nan,0.9366,17.922,19.1344,33.0,2019-07-01,2022-06-30
HELEN KELLER HOSPITAL,10019,AL,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
HELEN KELLER HOSPITAL,10019,AL,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
HELEN KELLER HOSPITAL,10019,AL,READM-30-COPD-HRRP,160.0,nan,0.9307,16.5761,17.81,22.0,2019-07-01,2022-06-30
HELEN KELLER HOSPITAL,10019,AL,READM-30-PN-HRRP,208.0,nan,0.9978,15.456,15.4901,32.0,2019-07-01,2022-06-30
DALE MEDICAL CENTER,10021,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2019-07-01,2022-06-30
DALE MEDICAL CENTER,10021,AL,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
DALE MEDICAL CENTER,10021,AL,READM-30-COPD-HRRP,,nan,0.9324,19.5288,20.9453,,2019-07-01,2022-06-30
DALE MEDICAL CENTER,10021,AL,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
DALE MEDICAL CENTER,10021,AL,READM-30-HF-HRRP,,nan,1.0428,21.074,20.2097,,2019-07-01,2022-06-30
DALE MEDICAL CENTER,10021,AL,READM-30-PN-HRRP,47.0,nan,1.0552,15.7025,14.8809,11.0,2019-07-01,2022-06-30
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-HF-HRRP,,1.0,,,,,2019-07-01,2022-06-30
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-AMI-HRRP,,5.0,,,,,2019-07-01,2022-06-30
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-PN-HRRP,,nan,0.9662,12.8892,13.3402,,2019-07-01,2022-06-30
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2019-07-01,2022-06-30
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-COPD-HRRP,,1.0,,,,,2019-07-01,2022-06-30
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-CABG-HRRP,,nan,1.0072,10.4407,10.3662,,2019-07-01,2022-06-30
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-COPD-HRRP,68.0,nan,0.9977,19.3437,19.389,13.0,2019-07-01,2022-06-30
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-HIP-KNEE-HRRP,,nan,1.0243,5.018,4.8991,,2019-07-01,2022-06-30
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-HF-HRRP,284.0,nan,0.9412,19.3729,20.5838,51.0,2019-07-01,2022-06-30
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-AMI-HRRP,190.0,nan,1.0287,15.0433,14.6243,30.0,2019-07-01,2022-06-30
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-PN-HRRP,117.0,nan,0.9747,17.7691,18.2305,19.0,2019-07-01,2022-06-30
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-PN-HRRP,195.0,nan,1.0147,17.4308,17.1779,35.0,2019-07-01,2022-06-30
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-HIP-KNEE-HRRP,,nan,1.0187,3.5172,3.4527,,2019-07-01,2022-06-30
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-HF-HRRP,256.0,nan,0.9629,18.9363,19.6649,46.0,2019-07-01,2022-06-30
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-AMI-HRRP,117.0,nan,1.0898,15.9752,14.6583,23.0,2019-07-01,2022-06-30
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-COPD-HRRP,72.0,nan,1.0008,17.9843,17.9699,13.0,2019-07-01,2022-06-30
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-CABG-HRRP,88.0,nan,1.0167,11.9626,11.7663,11.0,2019-07-01,2022-06-30
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-PN-HRRP,88.0,nan,0.961,16.7335,17.413,12.0,2019-07-01,2022-06-30
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-HF-HRRP,175.0,nan,1.1095,21.2027,19.11,44.0,2019-07-01,2022-06-30
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-COPD-HRRP,72.0,nan,1.0344,20.507,19.825,17.0,2019-07-01,2022-06-30
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-AMI-HRRP,,nan,1.0062,12.4327,12.3566,,2019-07-01,2022-06-30
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-CABG-HRRP,,nan,0.944,8.8183,9.3417,,2019-07-01,2022-06-30
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-HIP-KNEE-HRRP,,nan,0.9173,4.1208,4.4925,,2019-07-01,2022-06-30
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-PN-HRRP,321.0,nan,1.0892,18.0978,16.6152,64.0,2019-07-01,2022-06-30
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-COPD-HRRP,134.0,nan,1.0125,21.0181,20.7589,29.0,2019-07-01,2022-06-30
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-CABG-HRRP,281.0,nan,1.0353,12.1039,11.6912,35.0,2019-07-01,2022-06-30
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-AMI-HRRP,251.0,nan,1.0693,16.1899,15.1403,44.0,2019-07-01,2022-06-30
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-HIP-KNEE-HRRP,,nan,1.1785,8.0933,6.8672,,2019-07-01,2022-06-30
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-HF-HRRP,595.0,nan,0.8908,18.255,20.4934,101.0,2019-07-01,2022-06-30
COMMUNITY HOSPITAL INC,10034,AL,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
COMMUNITY HOSPITAL INC,10034,AL,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
COMMUNITY HOSPITAL INC,10034,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2019-07-01,2022-06-30
COMMUNITY HOSPITAL INC,10034,AL,READM-30-HF-HRRP,,1.0,,,,,2019-07-01,2022-06-30
COMMUNITY HOSPITAL INC,10034,AL,READM-30-PN-HRRP,,1.0,,,,,2019-07-01,2022-06-30
COMMUNITY HOSPITAL INC,10034,AL,READM-30-COPD-HRRP,,1.0,,,,,2019-07-01,2022-06-30
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-HIP-KNEE-HRRP,,nan,0.9921,4.7113,4.7486,,2019-07-01,2022-06-30
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-HF-HRRP,328.0,nan,1.0905,20.8074,19.0802,74.0,2019-07-01,2022-06-30
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-AMI-HRRP,,nan,0.9772,12.2048,12.489,,2019-07-01,2022-06-30
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-PN-HRRP,315.0,nan,1.0232,16.018,15.6549,52.0,2019-07-01,2022-06-30
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-COPD-HRRP,113.0,nan,1.0903,20.6265,18.9178,29.0,2019-07-01,2022-06-30
ANDALUSIA HEALTH,10036,AL,READM-30-PN-HRRP,121.0,nan,1.0269,17.5026,17.0433,23.0,2019-07-01,2022-06-30
ANDALUSIA HEALTH,10036,AL,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
ANDALUSIA HEALTH,10036,AL,READM-30-HIP-KNEE-HRRP,,nan,1.1266,5.3022,4.7064,,2019-07-01,2022-06-30
ANDALUSIA HEALTH,10036,AL,READM-30-AMI-HRRP,0.0,7.0,,,,,2019-07-01,2022-06-30
ANDALUSIA HEALTH,10036,AL,READM-30-HF-HRRP,154.0,nan,1.0418,22.2181,21.3276,37.0,2019-07-01,2022-06-30
ANDALUSIA HEALTH,10036,AL,READM-30-COPD-HRRP,,nan,0.9188,19.3434,21.0533,,2019-07-01,2022-06-30
HUNTSVILLE HOSPITAL,10039,AL,READM-30-CABG-HRRP,243.0,nan,0.8286,8.2787,9.9909,15.0,2019-07-01,2022-06-30
HUNTSVILLE HOSPITAL,10039,AL,READM-30-HIP-KNEE-HRRP,334.0,nan,1.2916,5.698,4.4117,23.0,2019-07-01,2022-06-30
HUNTSVILLE HOSPITAL,10039,AL,READM-30-AMI-HRRP,613.0,nan,0.8867,10.7176,12.0875,60.0,2019-07-01,2022-06-30
HUNTSVILLE HOSPITAL,10039,AL,READM-30-COPD-HRRP,396.0,nan,0.9641,17.0,17.6328,65.0,2019-07-01,2022-06-30
HUNTSVILLE HOSPITAL,10039,AL,READM-30-PN-HRRP,1085.0,nan,0.9794,15.7055,16.0354,169.0,2019-07-01,2022-06-30
HUNTSVILLE HOSPITAL,10039,AL,READM-30-HF-HRRP,1086.0,nan,1.0105,20.1021,19.8942,219.0,2019-07-01,2022-06-30
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-PN-HRRP,225.0,nan,0.9275,16.9822,18.31,33.0,2019-07-01,2022-06-30
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-AMI-HRRP,151.0,nan,0.9927,14.1466,14.2505,21.0,2019-07-01,2022-06-30
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-HF-HRRP,242.0,nan,0.9684,21.1509,21.8409,49.0,2019-07-01,2022-06-30
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-CABG-HRRP,,nan,0.9522,10.4307,10.9538,,2019-07-01,2022-06-30
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-COPD-HRRP,95.0,nan,0.9809,19.2423,19.6177,17.0,2019-07-01,2022-06-30
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-HIP-KNEE-HRRP,,nan,0.8794,4.5142,5.1331,,2019-07-01,2022-06-30
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-AMI-HRRP,0.0,7.0,,,,,2019-07-01,2022-06-30
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-HF-HRRP,,nan,0.9701,16.3804,16.8845,,2019-07-01,2022-06-30
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2019-07-01,2022-06-30
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-COPD-HRRP,,1.0,,,,,2019-07-01,2022-06-30
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-PN-HRRP,,nan,0.978,14.6968,15.0276,,2019-07-01,2022-06-30
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
FAYETTE MEDICAL CENTER,10045,AL,READM-30-HF-HRRP,,nan,0.9651,15.5782,16.1419,,2019-07-01,2022-06-30
FAYETTE MEDICAL CENTER,10045,AL,READM-30-AMI-HRRP,0.0,7.0,,,,,2019-07-01,2022-06-30
FAYETTE MEDICAL CENTER,10045,AL,READM-30-PN-HRRP,,nan,1.0211,13.7076,13.4242,,2019-07-01,2022-06-30
FAYETTE MEDICAL CENTER,10045,AL,READM-30-COPD-HRRP,,nan,1.0644,17.4469,16.3912,,2019-07-01,2022-06-30
FAYETTE MEDICAL CENTER,10045,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2019-07-01,2022-06-30
FAYETTE MEDICAL CENTER,10045,AL,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-HF-HRRP,226.0,nan,1.0992,24.5086,22.2965,62.0,2019-07-01,2022-06-30
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-CABG-HRRP,,1.0,,,,,2019-07-01,2022-06-30
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-AMI-HRRP,,nan,0.9672,15.1514,15.6649,,2019-07-01,2022-06-30
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-COPD-HRRP,95.0,nan,1.0473,19.9721,19.07,22.0,2019-07-01,2022-06-30
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-PN-HRRP,189.0,nan,1.0974,19.8195,18.0597,44.0,2019-07-01,2022-06-30
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-HIP-KNEE-HRRP,,1.0,,,,,2019-07-01,2022-06-30
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-HIP-KNEE-HRRP,,nan,1.037,4.0484,3.904,,2019-07-01,2022-06-30
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-PN-HRRP,129.0,nan,1.0585,15.6623,14.796,24.0,2019-07-01,2022-06-30
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-COPD-HRRP,68.0,nan,1.0801,17.8559,16.5314,17.0,2019-07-01,2022-06-30
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-HF-HRRP,89.0,nan,1.0232,18.5527,18.1327,18.0,2019-07-01,2022-06-30
GREENE COUNTY HOSPITAL,10051,AL,READM-30-PN-HRRP,,1.0,,,,,2019-07-01,2022-06-30
GREENE COUNTY HOSPITAL,10051,AL,READM-30-COPD-HRRP,,1.0,,,,,2019-07-01,2022-06-30
GREENE COUNTY HOSPITAL,10051,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2019-07-01,2022-06-30
GREENE COUNTY HOSPITAL,10051,AL,READM-30-AMI-HRRP,,5.0,,,,,2019-07-01,2022-06-30
GREENE COUNTY HOSPITAL,10051,AL,READM-30-HF-HRRP,,1.0,,,,,2019-07-01,2022-06-30
GREENE COUNTY HOSPITAL,10051,AL,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2019-07-01,2022-06-30
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-HF-HRRP,,1.0,,,,,2019-07-01,2022-06-30
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-COPD-HRRP,,1.0,,,,,2019-07-01,2022-06-30
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-PN-HRRP,,1.0,,,,,2019-07-01,2022-06-30
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-AMI-HRRP,0.0,7.0,,,,,2019-07-01,2022-06-30
FLOWERS HOSPITAL,10055,AL,READM-30-PN-HRRP,268.0,nan,0.974,15.2113,15.6174,39.0,2019-07-01,2022-06-30
FLOWERS HOSPITAL,10055,AL,READM-30-CABG-HRRP,,nan,1.0557,11.6453,11.0312,,2019-07-01,2022-06-30
FLOWERS HOSPITAL,10055,AL,READM-30-HIP-KNEE-HRRP,,nan,1.1823,4.6657,3.9463,,2019-07-01,2022-06-30
FLOWERS HOSPITAL,10055,AL,READM-30-HF-HRRP,300.0,nan,1.0085,19.8119,19.6442,60.0,2019-07-01,2022-06-30
FLOWERS HOSPITAL,10055,AL,READM-30-COPD-HRRP,130.0,nan,0.961,18.1308,18.8676,21.0,2019-07-01,2022-06-30
FLOWERS HOSPITAL,10055,AL,READM-30-AMI-HRRP,233.0,nan,1.022,12.8549,12.5783,31.0,2019-07-01,2022-06-30
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-AMI-HRRP,122.0,nan,1.02,13.1482,12.8898,17.0,2019-07-01,2022-06-30
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-PN-HRRP,304.0,nan,0.9772,15.9745,16.3467,47.0,2019-07-01,2022-06-30
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-CABG-HRRP,90.0,nan,1.0344,11.1665,10.7948,11.0,2019-07-01,2022-06-30
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-HIP-KNEE-HRRP,,nan,0.7497,3.2202,4.2954,,2019-07-01,2022-06-30
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-COPD-HRRP,80.0,nan,0.9981,17.6582,17.6925,14.0,2019-07-01,2022-06-30
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-HF-HRRP,356.0,nan,0.9587,19.0432,19.8635,65.0,2019-07-01,2022-06-30
BIBB MEDICAL CENTER,10058,AL,READM-30-COPD-HRRP,,1.0,,,,,2019-07-01,2022-06-30
BIBB MEDICAL CENTER,10058,AL,READM-30-PN-HRRP,,1.0,,,,,2019-07-01,2022-06-30
BIBB MEDICAL CENTER,10058,AL,READM-30-HF-HRRP,,1.0,,,,,2019-07-01,2022-06-30
BIBB MEDICAL CENTER,10058,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2019-07-01,2022-06-30
BIBB MEDICAL CENTER,10058,AL,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
BIBB MEDICAL CENTER,10058,AL,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
LAWRENCE MEDICAL CENTER,10059,AL,READM-30-HF-HRRP,,1.0,,,,,2019-07-01,2022-06-30
LAWRENCE MEDICAL CENTER,10059,AL,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
LAWRENCE MEDICAL CENTER,10059,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2019-07-01,2022-06-30
LAWRENCE MEDICAL CENTER,10059,AL,READM-30-PN-HRRP,,nan,0.9783,16.1829,16.5417,,2019-07-01,2022-06-30
LAWRENCE MEDICAL CENTER,10059,AL,READM-30-COPD-HRRP,,1.0,,,,,2019-07-01,2022-06-30
LAWRENCE MEDICAL CENTER,10059,AL,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
HIGHLANDS MEDICAL CENTER,10061,AL,READM-30-PN-HRRP,89.0,nan,0.9879,15.5209,15.7111,13.0,2019-07-01,2022-06-30
HIGHLANDS MEDICAL CENTER,10061,AL,READM-30-CABG-HRRP,,5.0,,,,,2019-07-01,2022-06-30
HIGHLANDS MEDICAL CENTER,10061,AL,READM-30-HF-HRRP,,nan,0.9518,16.9116,17.7682,,2019-07-01,2022-06-30
HIGHLANDS MEDICAL CENTER,10061,AL,READM-30-COPD-HRRP,,nan,1.0157,17.9831,17.7052,,2019-07-01,2022-06-30
HIGHLANDS MEDICAL CENTER,10061,AL,READM-30-AMI-HRRP,,1.0,,,,,2019-07-01,2022-06-30
HIGHLANDS MEDICAL CENTER,10061,AL,READM-30-HIP-KNEE-HRRP,,1.0,,,,,2019-07-01,2022-06-30
