facility_name,facility_id,state,measurename,numberofdischarges,footnote,excessreadmissionratio,predictedreadmissionrate,expectedreadmissionrate,numberofreadmissions,start_date,end_date
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-AMI-HRRP,68.0,nan,1.0325,13.5075,13.0826,11.0,2017-07-01,2019-12-01
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-HF-HRRP,141.0,nan,1.042,20.1124,19.3013,31.0,2017-07-01,2019-12-01
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-CABG-HRRP,,nan,0.9108,10.0383,11.0209,,2017-07-01,2019-12-01
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-HIP-KNEE-HRRP,,nan,1.0282,4.109,3.9964,,2017-07-01,2019-12-01
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-COPD-HRRP,143.0,nan,1.0053,19.2532,19.1512,28.0,2017-07-01,2019-12-01
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-AMI-HRRP,129.0,nan,0.9191,13.842,15.0602,13.0,2017-07-01,2019-12-01
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-PN-HRRP,291.0,nan,1.0137,16.1657,15.9472,48.0,2017-07-01,2019-12-01
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-HF-HRRP,241.0,nan,0.98,22.1365,22.5873,52.0,2017-07-01,2019-12-01
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-COPD-HRRP,,5.0,,,,,2017-07-01,2019-12-01
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-HF-HRRP,,5.0,,,,,2017-07-01,2019-12-01
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2017-07-01,2019-12-01
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-PN-HRRP,,5.0,,,,,2017-07-01,2019-12-01
CALLAHAN EYE HOSPITAL,10018,AL,READM-30-AMI-HRRP,,5.0,,,,,2017-07-01,2019-12-01
HELEN KELLER HOSPITAL,10019,AL,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
HELEN KELLER HOSPITAL,10019,AL,READM-30-COPD-HRRP,336.0,nan,1.049,18.1202,17.2731,65.0,2017-07-01,2019-12-01
HELEN KELLER HOSPITAL,10019,AL,READM-30-PN-HRRP,328.0,nan,0.9816,14.7211,14.9964,47.0,2017-07-01,2019-12-01
HELEN KELLER HOSPITAL,10019,AL,READM-30-AMI-HRRP,,1.0,,,,,2017-07-01,2019-12-01
HELEN KELLER HOSPITAL,10019,AL,READM-30-HF-HRRP,308.0,nan,0.9446,19.0485,20.1664,55.0,2017-07-01,2019-12-01
HELEN KELLER HOSPITAL,10019,AL,READM-30-HIP-KNEE-HRRP,306.0,nan,1.3281,4.8814,3.6754,20.0,2017-07-01,2019-12-01
DALE MEDICAL CENTER,10021,AL,READM-30-AMI-HRRP,,1.0,,,,,2017-07-01,2019-12-01
DALE MEDICAL CENTER,10021,AL,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
DALE MEDICAL CENTER,10021,AL,READM-30-COPD-HRRP,,nan,0.9515,17.9485,18.864,,2017-07-01,2019-12-01
DALE MEDICAL CENTER,10021,AL,READM-30-PN-HRRP,68.0,nan,1.0394,15.1945,14.619,13.0,2017-07-01,2019-12-01
DALE MEDICAL CENTER,10021,AL,READM-30-HF-HRRP,,nan,0.9675,19.8475,20.5134,,2017-07-01,2019-12-01
DALE MEDICAL CENTER,10021,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2017-07-01,2019-12-01
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-AMI-HRRP,,5.0,,,,,2017-07-01,2019-12-01
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-HF-HRRP,,1.0,,,,,2017-07-01,2019-12-01
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-COPD-HRRP,,nan,0.9833,16.4501,16.7293,,2017-07-01,2019-12-01
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-PN-HRRP,,1.0,,,,,2017-07-01,2019-12-01
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2017-07-01,2019-12-01
CHEROKEE MEDICAL CENTER,10022,AL,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-AMI-HRRP,242.0,nan,1.0607,17.1252,16.145,45.0,2017-07-01,2019-12-01
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-HIP-KNEE-HRRP,403.0,nan,1.0052,4.195,4.1732,17.0,2017-07-01,2019-12-01
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-CABG-HRRP,,nan,0.942,10.9558,11.6304,,2017-07-01,2019-12-01
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-HF-HRRP,432.0,nan,0.8857,19.8961,22.4649,78.0,2017-07-01,2019-12-01
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-COPD-HRRP,172.0,nan,1.0337,22.6491,21.9107,42.0,2017-07-01,2019-12-01
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-PN-HRRP,175.0,nan,1.0345,18.5879,17.9687,35.0,2017-07-01,2019-12-01
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-HIP-KNEE-HRRP,,nan,1.0525,3.8922,3.698,,2017-07-01,2019-12-01
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-CABG-HRRP,135.0,nan,1.129,15.0599,13.3394,23.0,2017-07-01,2019-12-01
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-AMI-HRRP,196.0,nan,1.1382,17.9662,15.7851,43.0,2017-07-01,2019-12-01
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-HF-HRRP,404.0,nan,1.071,23.1244,21.591,98.0,2017-07-01,2019-12-01
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-COPD-HRRP,213.0,nan,1.0043,19.5409,19.4578,42.0,2017-07-01,2019-12-01
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-PN-HRRP,352.0,nan,1.046,18.1055,17.3092,67.0,2017-07-01,2019-12-01
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-HIP-KNEE-HRRP,542.0,nan,1.0654,4.2214,3.9623,24.0,2017-07-01,2019-12-01
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-CABG-HRRP,,nan,0.827,8.8493,10.7003,,2017-07-01,2019-12-01
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-COPD-HRRP,339.0,nan,1.0451,20.6614,19.7698,74.0,2017-07-01,2019-12-01
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-AMI-HRRP,185.0,nan,1.0151,14.6709,14.4534,28.0,2017-07-01,2019-12-01
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-HF-HRRP,561.0,nan,1.0445,21.7732,20.8451,125.0,2017-07-01,2019-12-01
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-PN-HRRP,356.0,nan,0.9886,16.2384,16.4249,57.0,2017-07-01,2019-12-01
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-AMI-HRRP,276.0,nan,1.054,18.4133,17.4699,54.0,2017-07-01,2019-12-01
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-HIP-KNEE-HRRP,132.0,nan,1.2634,5.1647,4.0877,11.0,2017-07-01,2019-12-01
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-HF-HRRP,739.0,nan,1.0502,23.7749,22.6392,179.0,2017-07-01,2019-12-01
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-COPD-HRRP,190.0,nan,1.0303,20.6912,20.0826,42.0,2017-07-01,2019-12-01
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-CABG-HRRP,266.0,nan,1.0823,15.505,14.3263,43.0,2017-07-01,2019-12-01
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-PN-HRRP,446.0,nan,1.0571,18.1578,17.1773,85.0,2017-07-01,2019-12-01
COMMUNITY HOSPITAL INC,10034,AL,READM-30-AMI-HRRP,,1.0,,,,,2017-07-01,2019-12-01
COMMUNITY HOSPITAL INC,10034,AL,READM-30-HF-HRRP,,nan,0.9849,17.2731,17.5373,,2017-07-01,2019-12-01
COMMUNITY HOSPITAL INC,10034,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2017-07-01,2019-12-01
COMMUNITY HOSPITAL INC,10034,AL,READM-30-COPD-HRRP,,nan,0.9549,15.6201,16.358,,2017-07-01,2019-12-01
COMMUNITY HOSPITAL INC,10034,AL,READM-30-PN-HRRP,,nan,0.9889,14.7965,14.963,,2017-07-01,2019-12-01
COMMUNITY HOSPITAL INC,10034,AL,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-PN-HRRP,437.0,nan,1.126,17.521,15.5604,85.0,2017-07-01,2019-12-01
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-HIP-KNEE-HRRP,,nan,0.9242,3.9289,4.2514,,2017-07-01,2019-12-01
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-AMI-HRRP,96.0,nan,0.9968,14.7794,14.8273,14.0,2017-07-01,2019-12-01
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-HF-HRRP,477.0,nan,1.0429,20.8135,19.9571,102.0,2017-07-01,2019-12-01
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-COPD-HRRP,232.0,nan,1.039,18.3935,17.7024,46.0,2017-07-01,2019-12-01
ANDALUSIA HEALTH,10036,AL,READM-30-AMI-HRRP,,1.0,,,,,2017-07-01,2019-12-01
ANDALUSIA HEALTH,10036,AL,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
ANDALUSIA HEALTH,10036,AL,READM-30-COPD-HRRP,197.0,nan,0.9477,18.6415,19.6694,32.0,2017-07-01,2019-12-01
ANDALUSIA HEALTH,10036,AL,READM-30-HF-HRRP,260.0,nan,0.9757,21.3922,21.926,54.0,2017-07-01,2019-12-01
ANDALUSIA HEALTH,10036,AL,READM-30-HIP-KNEE-HRRP,,nan,1.0356,5.0273,4.8544,,2017-07-01,2019-12-01
ANDALUSIA HEALTH,10036,AL,READM-30-PN-HRRP,172.0,nan,0.9195,15.0712,16.3905,20.0,2017-07-01,2019-12-01
STRINGFELLOW MEMORIAL HOSPITAL,10038,AL,READM-30-AMI-HRRP,,nan,0.9501,15.132,15.9275,,2017-07-01,2019-12-01
STRINGFELLOW MEMORIAL HOSPITAL,10038,AL,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
STRINGFELLOW MEMORIAL HOSPITAL,10038,AL,READM-30-COPD-HRRP,148.0,nan,0.9099,16.2704,17.8818,16.0,2017-07-01,2019-12-01
STRINGFELLOW MEMORIAL HOSPITAL,10038,AL,READM-30-HF-HRRP,85.0,nan,1.0714,21.748,20.2984,23.0,2017-07-01,2019-12-01
STRINGFELLOW MEMORIAL HOSPITAL,10038,AL,READM-30-HIP-KNEE-HRRP,,nan,1.114,4.4838,4.0249,,2017-07-01,2019-12-01
STRINGFELLOW MEMORIAL HOSPITAL,10038,AL,READM-30-PN-HRRP,,nan,0.9408,14.8915,15.8282,,2017-07-01,2019-12-01
HUNTSVILLE HOSPITAL,10039,AL,READM-30-CABG-HRRP,342.0,nan,0.9961,12.3049,12.3528,42.0,2017-07-01,2019-12-01
HUNTSVILLE HOSPITAL,10039,AL,READM-30-AMI-HRRP,920.0,nan,0.8899,12.6793,14.2481,110.0,2017-07-01,2019-12-01
HUNTSVILLE HOSPITAL,10039,AL,READM-30-COPD-HRRP,847.0,nan,1.0742,20.5006,19.0844,180.0,2017-07-01,2019-12-01
HUNTSVILLE HOSPITAL,10039,AL,READM-30-PN-HRRP,1454.0,nan,1.0355,17.0225,16.4395,250.0,2017-07-01,2019-12-01
HUNTSVILLE HOSPITAL,10039,AL,READM-30-HIP-KNEE-HRRP,1159.0,nan,1.2583,4.9953,3.97,62.0,2017-07-01,2019-12-01
HUNTSVILLE HOSPITAL,10039,AL,READM-30-HF-HRRP,1382.0,nan,0.9998,21.8534,21.8583,302.0,2017-07-01,2019-12-01
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-AMI-HRRP,202.0,nan,1.1036,17.8658,16.188,42.0,2017-07-01,2019-12-01
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-CABG-HRRP,,nan,0.8964,12.2005,13.6106,,2017-07-01,2019-12-01
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-COPD-HRRP,247.0,nan,1.0553,21.4951,20.3689,58.0,2017-07-01,2019-12-01
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-HF-HRRP,336.0,nan,1.0854,26.2879,24.2194,94.0,2017-07-01,2019-12-01
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-HIP-KNEE-HRRP,316.0,nan,0.9408,4.1409,4.4014,12.0,2017-07-01,2019-12-01
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-PN-HRRP,472.0,nan,1.0165,17.9698,17.6782,86.0,2017-07-01,2019-12-01
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-COPD-HRRP,85.0,nan,0.9915,17.3235,17.4728,14.0,2017-07-01,2019-12-01
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-AMI-HRRP,,1.0,,,,,2017-07-01,2019-12-01
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-PN-HRRP,121.0,nan,0.9792,13.5845,13.8733,15.0,2017-07-01,2019-12-01
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-HF-HRRP,,nan,0.9335,16.1015,17.2481,,2017-07-01,2019-12-01
MARION REGIONAL MEDICAL CENTER,10044,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2017-07-01,2019-12-01
FAYETTE MEDICAL CENTER,10045,AL,READM-30-HF-HRRP,,nan,0.962,20.3461,21.15,,2017-07-01,2019-12-01
FAYETTE MEDICAL CENTER,10045,AL,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
FAYETTE MEDICAL CENTER,10045,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2017-07-01,2019-12-01
FAYETTE MEDICAL CENTER,10045,AL,READM-30-AMI-HRRP,0.0,7.0,,,,,2017-07-01,2019-12-01
FAYETTE MEDICAL CENTER,10045,AL,READM-30-COPD-HRRP,51.0,nan,1.0137,19.2305,18.971,11.0,2017-07-01,2019-12-01
FAYETTE MEDICAL CENTER,10045,AL,READM-30-PN-HRRP,83.0,nan,0.9876,15.5044,15.699,12.0,2017-07-01,2019-12-01
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-COPD-HRRP,201.0,nan,0.9583,18.7799,19.5974,34.0,2017-07-01,2019-12-01
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-CABG-HRRP,,1.0,,,,,2017-07-01,2019-12-01
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-AMI-HRRP,51.0,nan,1.0871,17.6577,16.2427,14.0,2017-07-01,2019-12-01
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-HIP-KNEE-HRRP,,nan,0.917,4.3119,4.7022,,2017-07-01,2019-12-01
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-HF-HRRP,261.0,nan,0.9814,22.7033,23.1332,58.0,2017-07-01,2019-12-01
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-PN-HRRP,278.0,nan,1.0798,19.2176,17.7971,59.0,2017-07-01,2019-12-01
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-PN-HRRP,139.0,nan,1.0605,15.0557,14.1965,25.0,2017-07-01,2019-12-01
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-COPD-HRRP,118.0,nan,0.9575,15.7819,16.483,15.0,2017-07-01,2019-12-01
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-AMI-HRRP,,1.0,,,,,2017-07-01,2019-12-01
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-HF-HRRP,88.0,nan,1.035,20.2087,19.5245,20.0,2017-07-01,2019-12-01
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-HIP-KNEE-HRRP,,nan,1.0028,4.0983,4.087,,2017-07-01,2019-12-01
GREENE COUNTY HOSPITAL,10051,AL,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
GREENE COUNTY HOSPITAL,10051,AL,READM-30-COPD-HRRP,,1.0,,,,,2017-07-01,2019-12-01
GREENE COUNTY HOSPITAL,10051,AL,READM-30-PN-HRRP,,1.0,,,,,2017-07-01,2019-12-01
GREENE COUNTY HOSPITAL,10051,AL,READM-30-HF-HRRP,,1.0,,,,,2017-07-01,2019-12-01
GREENE COUNTY HOSPITAL,10051,AL,READM-30-AMI-HRRP,0.0,7.0,,,,,2017-07-01,2019-12-01
GREENE COUNTY HOSPITAL,10051,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2017-07-01,2019-12-01
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2017-07-01,2019-12-01
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-AMI-HRRP,,1.0,,,,,2017-07-01,2019-12-01
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-PN-HRRP,57.0,nan,1.0384,16.4191,15.8114,12.0,2017-07-01,2019-12-01
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-COPD-HRRP,,nan,1.0057,20.2176,20.104,,2017-07-01,2019-12-01
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,READM-30-HF-HRRP,,1.0,,,,,2017-07-01,2019-12-01
FLOWERS HOSPITAL,10055,AL,READM-30-HIP-KNEE-HRRP,451.0,nan,1.0785,4.1375,3.8365,20.0,2017-07-01,2019-12-01
FLOWERS HOSPITAL,10055,AL,READM-30-CABG-HRRP,,nan,0.9755,11.0429,11.3203,,2017-07-01,2019-12-01
FLOWERS HOSPITAL,10055,AL,READM-30-COPD-HRRP,256.0,nan,0.9919,18.6382,18.7909,47.0,2017-07-01,2019-12-01
FLOWERS HOSPITAL,10055,AL,READM-30-AMI-HRRP,262.0,nan,0.9726,13.9659,14.3592,35.0,2017-07-01,2019-12-01
FLOWERS HOSPITAL,10055,AL,READM-30-HF-HRRP,433.0,nan,1.0019,21.2189,21.1794,92.0,2017-07-01,2019-12-01
FLOWERS HOSPITAL,10055,AL,READM-30-PN-HRRP,411.0,nan,0.9432,14.3713,15.2368,55.0,2017-07-01,2019-12-01
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-COPD-HRRP,218.0,nan,0.9938,19.0612,19.1801,41.0,2017-07-01,2019-12-01
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-HF-HRRP,378.0,nan,0.9933,20.7525,20.8934,78.0,2017-07-01,2019-12-01
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-PN-HRRP,468.0,nan,0.9897,15.5416,15.7038,72.0,2017-07-01,2019-12-01
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-AMI-HRRP,179.0,nan,1.0177,16.18,15.8984,30.0,2017-07-01,2019-12-01
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-HIP-KNEE-HRRP,1244.0,nan,0.8284,2.9992,3.6205,34.0,2017-07-01,2019-12-01
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-CABG-HRRP,80.0,nan,1.0771,14.2014,13.1847,13.0,2017-07-01,2019-12-01
BIBB MEDICAL CENTER,10058,AL,READM-30-CABG-HRRP,,5.0,,,,,2017-07-01,2019-12-01
BIBB MEDICAL CENTER,10058,AL,READM-30-AMI-HRRP,,1.0,,,,,2017-07-01,2019-12-01
BIBB MEDICAL CENTER,10058,AL,READM-30-COPD-HRRP,,1.0,,,,,2017-07-01,2019-12-01
BIBB MEDICAL CENTER,10058,AL,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2017-07-01,2019-12-01
BIBB MEDICAL CENTER,10058,AL,READM-30-HF-HRRP,,nan,0.9555,19.0216,19.908,,2017-07-01,2019-12-01
BIBB MEDICAL CENTER,10058,AL,READM-30-PN-HRRP,,nan,0.9997,15.5577,15.5629,,2017-07-01,2019-12-01
LAWRENCE MEDICAL CENTER,10059,AL,READM-30-AMI-HRRP,,1.0,,,,,2017-07-01,2019-12-01
