facility_id,facility_name,state,measure_name,start_date,end_date,FY
10019,HELEN KELLER HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10019,HELEN KELLER HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10021,DALE MEDICAL CENTER,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10021,DALE MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10021,DALE MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10022,CHEROKEE MEDICAL CENTER,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10022,CHEROKEE MEDICAL CENTER,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10022,CHEROKEE MEDICAL CENTER,AL,READM-30-COPD-HRRP,2016-07-01,2019-06-30,2021
10022,CHEROKEE MEDICAL CENTER,AL,READM-30-PN-HRRP,2016-07-01,2019-06-30,2021
10022,CHEROKEE MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10022,CHEROKEE MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10023,BAPTIST MEDICAL CENTER SOUTH,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10024,JACKSON HOSPITAL & CLINIC INC,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10034,COMMUNITY HOSPITAL INC,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10034,COMMUNITY HOSPITAL INC,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10034,COMMUNITY HOSPITAL INC,AL,READM-30-COPD-HRRP,2016-07-01,2019-06-30,2021
10034,COMMUNITY HOSPITAL INC,AL,READM-30-PN-HRRP,2016-07-01,2019-06-30,2021
10034,COMMUNITY HOSPITAL INC,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10035,CULLMAN REGIONAL MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10035,CULLMAN REGIONAL MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10036,ANDALUSIA HEALTH,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10036,ANDALUSIA HEALTH,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10036,ANDALUSIA HEALTH,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10038,STRINGFELLOW MEMORIAL HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10038,STRINGFELLOW MEMORIAL HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10038,STRINGFELLOW MEMORIAL HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10044,MARION REGIONAL MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10044,MARION REGIONAL MEDICAL CENTER,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10044,MARION REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10044,MARION REGIONAL MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10045,FAYETTE MEDICAL CENTER,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10045,FAYETTE MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10045,FAYETTE MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10045,FAYETTE MEDICAL CENTER,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10049,MEDICAL CENTER ENTERPRISE,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10049,MEDICAL CENTER ENTERPRISE,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10049,MEDICAL CENTER ENTERPRISE,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10051,GREENE COUNTY HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10051,GREENE COUNTY HOSPITAL,AL,READM-30-COPD-HRRP,2016-07-01,2019-06-30,2021
10051,GREENE COUNTY HOSPITAL,AL,READM-30-PN-HRRP,2016-07-01,2019-06-30,2021
10051,GREENE COUNTY HOSPITAL,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10051,GREENE COUNTY HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10051,GREENE COUNTY HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10052,LAKE MARTIN COMMUNITY HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10052,LAKE MARTIN COMMUNITY HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10052,LAKE MARTIN COMMUNITY HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10052,LAKE MARTIN COMMUNITY HOSPITAL,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10055,FLOWERS HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10058,BIBB MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10058,BIBB MEDICAL CENTER,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10058,BIBB MEDICAL CENTER,AL,READM-30-COPD-HRRP,2016-07-01,2019-06-30,2021
10058,BIBB MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10058,BIBB MEDICAL CENTER,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10059,LAWRENCE MEDICAL CENTER,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10059,LAWRENCE MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10059,LAWRENCE MEDICAL CENTER,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10059,LAWRENCE MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10061,HIGHLANDS MEDICAL CENTER,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10061,HIGHLANDS MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10061,HIGHLANDS MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10062,WIREGRASS MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10062,WIREGRASS MEDICAL CENTER,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10062,WIREGRASS MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10062,WIREGRASS MEDICAL CENTER,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10065,RUSSELL MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10065,RUSSELL MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10065,RUSSELL MEDICAL CENTER,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10069,MEDICAL CENTER BARBOUR,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10069,MEDICAL CENTER BARBOUR,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10069,MEDICAL CENTER BARBOUR,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10073,CLAY COUNTY HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10073,CLAY COUNTY HOSPITAL,AL,READM-30-PN-HRRP,2016-07-01,2019-06-30,2021
10073,CLAY COUNTY HOSPITAL,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10073,CLAY COUNTY HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10073,CLAY COUNTY HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10073,CLAY COUNTY HOSPITAL,AL,READM-30-COPD-HRRP,2016-07-01,2019-06-30,2021
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10079,ATHENS LIMESTONE HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10079,ATHENS LIMESTONE HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10079,ATHENS LIMESTONE HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10086,NORTHWEST MEDICAL CENTER,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10086,NORTHWEST MEDICAL CENTER,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10086,NORTHWEST MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10086,NORTHWEST MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10087,USA HEALTH UNIVERSITY HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10087,USA HEALTH UNIVERSITY HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10087,USA HEALTH UNIVERSITY HOSPITAL,AL,READM-30-COPD-HRRP,2016-07-01,2019-06-30,2021
10087,USA HEALTH UNIVERSITY HOSPITAL,AL,READM-30-PN-HRRP,2016-07-01,2019-06-30,2021
10087,USA HEALTH UNIVERSITY HOSPITAL,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10087,USA HEALTH UNIVERSITY HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10089,WALKER BAPTIST MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10089,WALKER BAPTIST MEDICAL CENTER,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10089,WALKER BAPTIST MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10090,PROVIDENCE HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10091,GROVE HILL MEMORIAL HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10091,GROVE HILL MEMORIAL HOSPITAL,AL,READM-30-COPD-HRRP,2016-07-01,2019-06-30,2021
10091,GROVE HILL MEMORIAL HOSPITAL,AL,READM-30-PN-HRRP,2016-07-01,2019-06-30,2021
10091,GROVE HILL MEMORIAL HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10091,GROVE HILL MEMORIAL HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10091,GROVE HILL MEMORIAL HOSPITAL,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10092,D C H REGIONAL MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10095,HALE COUNTY HOSPITAL,AL,READM-30-COPD-HRRP,2016-07-01,2019-06-30,2021
10095,HALE COUNTY HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10095,HALE COUNTY HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10095,HALE COUNTY HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10095,HALE COUNTY HOSPITAL,AL,READM-30-PN-HRRP,2016-07-01,2019-06-30,2021
10095,HALE COUNTY HOSPITAL,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10097,ELMORE COMMUNITY HOSPITAL,AL,READM-30-COPD-HRRP,2016-07-01,2019-06-30,2021
10097,ELMORE COMMUNITY HOSPITAL,AL,READM-30-PN-HRRP,2016-07-01,2019-06-30,2021
10097,ELMORE COMMUNITY HOSPITAL,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10097,ELMORE COMMUNITY HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10097,ELMORE COMMUNITY HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10097,ELMORE COMMUNITY HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10099,D W MCMILLAN MEMORIAL HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10099,D W MCMILLAN MEMORIAL HOSPITAL,AL,READM-30-COPD-HRRP,2016-07-01,2019-06-30,2021
10099,D W MCMILLAN MEMORIAL HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10099,D W MCMILLAN MEMORIAL HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10101,CITIZENS BAPTIST MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10101,CITIZENS BAPTIST MEDICAL CENTER,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10101,CITIZENS BAPTIST MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10102,J PAUL JONES HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10102,J PAUL JONES HOSPITAL,AL,READM-30-COPD-HRRP,2016-07-01,2019-06-30,2021
10102,J PAUL JONES HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10102,J PAUL JONES HOSPITAL,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10102,J PAUL JONES HOSPITAL,AL,READM-30-PN-HRRP,2016-07-01,2019-06-30,2021
10102,J PAUL JONES HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10103,PRINCETON BAPTIST MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10108,PRATTVILLE BAPTIST HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10108,PRATTVILLE BAPTIST HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10108,PRATTVILLE BAPTIST HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10109,PICKENS COUNTY MEDICAL CENTER,AL,READM-30-COPD-HRRP,2016-07-01,2019-06-30,2021
10109,PICKENS COUNTY MEDICAL CENTER,AL,READM-30-PN-HRRP,2016-07-01,2019-06-30,2021
10109,PICKENS COUNTY MEDICAL CENTER,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10109,PICKENS COUNTY MEDICAL CENTER,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10109,PICKENS COUNTY MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10109,PICKENS COUNTY MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10110,BULLOCK COUNTY HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10110,BULLOCK COUNTY HOSPITAL,AL,READM-30-COPD-HRRP,2016-07-01,2019-06-30,2021
10110,BULLOCK COUNTY HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10110,BULLOCK COUNTY HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10110,BULLOCK COUNTY HOSPITAL,AL,READM-30-PN-HRRP,2016-07-01,2019-06-30,2021
10110,BULLOCK COUNTY HOSPITAL,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10112,WHITFIELD REGIONAL HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10112,WHITFIELD REGIONAL HOSPITAL,AL,READM-30-COPD-HRRP,2016-07-01,2019-06-30,2021
10112,WHITFIELD REGIONAL HOSPITAL,AL,READM-30-PN-HRRP,2016-07-01,2019-06-30,2021
10112,WHITFIELD REGIONAL HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10112,WHITFIELD REGIONAL HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10120,MONROE COUNTY HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10120,MONROE COUNTY HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10120,MONROE COUNTY HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10125,LAKELAND COMMUNITY HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10125,LAKELAND COMMUNITY HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10125,LAKELAND COMMUNITY HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10125,LAKELAND COMMUNITY HOSPITAL,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10126,TROY REGIONAL MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10126,TROY REGIONAL MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10126,TROY REGIONAL MEDICAL CENTER,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10128,JACKSON MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10128,JACKSON MEDICAL CENTER,AL,READM-30-COPD-HRRP,2016-07-01,2019-06-30,2021
10128,JACKSON MEDICAL CENTER,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10128,JACKSON MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10129,NORTH BALDWIN INFIRMARY,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10129,NORTH BALDWIN INFIRMARY,AL,READM-30-COPD-HRRP,2016-07-01,2019-06-30,2021
10129,NORTH BALDWIN INFIRMARY,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10129,NORTH BALDWIN INFIRMARY,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10130,ST VINCENT'S ST CLAIR,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10130,ST VINCENT'S ST CLAIR,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10130,ST VINCENT'S ST CLAIR,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10131,CRESTWOOD MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10138,HILL HOSPITAL OF SUMTER COUNTY,AL,READM-30-COPD-HRRP,2016-07-01,2019-06-30,2021
10138,HILL HOSPITAL OF SUMTER COUNTY,AL,READM-30-PN-HRRP,2016-07-01,2019-06-30,2021
10138,HILL HOSPITAL OF SUMTER COUNTY,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10138,HILL HOSPITAL OF SUMTER COUNTY,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10138,HILL HOSPITAL OF SUMTER COUNTY,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10138,HILL HOSPITAL OF SUMTER COUNTY,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10144,SPRINGHILL MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10144,SPRINGHILL MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10148,EVERGREEN MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10148,EVERGREEN MEDICAL CENTER,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10148,EVERGREEN MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10149,BAPTIST MEDICAL CENTER EAST,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10149,BAPTIST MEDICAL CENTER EAST,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10149,BAPTIST MEDICAL CENTER EAST,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,AL,READM-30-COPD-HRRP,2016-07-01,2019-06-30,2021
10150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,AL,READM-30-PN-HRRP,2016-07-01,2019-06-30,2021
10157,SHOALS HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10157,SHOALS HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10157,SHOALS HOSPITAL,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
10157,SHOALS HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10158,RUSSELLVILLE HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10158,RUSSELLVILLE HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10158,RUSSELLVILLE HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10164,COOSA VALLEY MEDICAL CENTER,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10164,COOSA VALLEY MEDICAL CENTER,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10164,COOSA VALLEY MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,2016-07-01,2019-06-30,2021
10168,JACK HUGHSTON MEMORIAL HOSPITAL,AL,READM-30-CABG-HRRP,2016-07-01,2019-06-30,2021
10168,JACK HUGHSTON MEMORIAL HOSPITAL,AL,READM-30-AMI-HRRP,2016-07-01,2019-06-30,2021
10168,JACK HUGHSTON MEMORIAL HOSPITAL,AL,READM-30-COPD-HRRP,2016-07-01,2019-06-30,2021
10168,JACK HUGHSTON MEMORIAL HOSPITAL,AL,READM-30-PN-HRRP,2016-07-01,2019-06-30,2021
10168,JACK HUGHSTON MEMORIAL HOSPITAL,AL,READM-30-HF-HRRP,2016-07-01,2019-06-30,2021
