FY,facility_id,facility_name,state,measure_name,err,number_of_discharges,number_of_readmissions,rank_by_err
2021,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,1.046,247.0,11.0,606.0
2021,10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,READM-30-PN-HRRP,0.9379,647.0,96.0,350.0
2021,10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,READM-30-COPD-HRRP,0.9973,519.0,94.0,655.0
2021,10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,READM-30-HIP-KNEE-HRRP,1.3844,290.0,24.0,1059.0
2021,10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,READM-30-AMI-HRRP,1.0788,52.0,14.0,980.0
2021,10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,READM-30-HF-HRRP,1.0099,558.0,126.0,906.0
2021,10086,NORTHWEST MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9562,170.0,24.0,331.0
2021,10086,NORTHWEST MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9687,132.0,16.0,567.0
2021,10089,WALKER BAPTIST MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.044,281.0,57.0,1050.0
2021,10089,WALKER BAPTIST MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0001,200.0,44.0,834.0
2021,10089,WALKER BAPTIST MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9773,254.0,37.0,635.0
2021,10090,PROVIDENCE HOSPITAL,AL,READM-30-AMI-HRRP,1.083,236.0,39.0,996.0
2021,10090,PROVIDENCE HOSPITAL,AL,READM-30-PN-HRRP,0.9512,508.0,69.0,436.0
2021,10090,PROVIDENCE HOSPITAL,AL,READM-30-COPD-HRRP,0.9644,378.0,67.0,390.0
2021,10090,PROVIDENCE HOSPITAL,AL,READM-30-CABG-HRRP,1.066,133.0,20.0,345.0
2021,10090,PROVIDENCE HOSPITAL,AL,READM-30-HF-HRRP,0.867,573.0,94.0,91.0
2021,10092,D C H REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,0.995,1175.0,199.0,768.0
2021,10092,D C H REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,1.075,1053.0,262.0,1341.0
2021,10092,D C H REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9413,972.0,183.0,239.0
2021,10092,D C H REGIONAL MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,1.2086,699.0,39.0,931.0
2021,10092,D C H REGIONAL MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.0406,425.0,73.0,779.0
2021,10099,D W MCMILLAN MEMORIAL HOSPITAL,AL,READM-30-PN-HRRP,1.0076,157.0,22.0,864.0
2021,10099,D W MCMILLAN MEMORIAL HOSPITAL,AL,READM-30-HF-HRRP,1.0351,96.0,21.0,1092.0
2021,10100,THOMAS HOSPITAL,AL,READM-30-AMI-HRRP,1.0455,226.0,37.0,809.0
2021,10100,THOMAS HOSPITAL,AL,READM-30-CABG-HRRP,1.1193,198.0,31.0,429.0
2021,10100,THOMAS HOSPITAL,AL,READM-30-COPD-HRRP,0.9679,160.0,27.0,416.0
2021,10100,THOMAS HOSPITAL,AL,READM-30-HF-HRRP,0.9408,341.0,66.0,411.0
2021,10100,THOMAS HOSPITAL,AL,READM-30-HIP-KNEE-HRRP,1.0158,530.0,22.0,528.0
2021,10100,THOMAS HOSPITAL,AL,READM-30-PN-HRRP,0.9415,406.0,58.0,371.0
2021,10101,CITIZENS BAPTIST MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9751,75.0,11.0,476.0
2021,10101,CITIZENS BAPTIST MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0454,83.0,17.0,1150.0
2021,10101,CITIZENS BAPTIST MEDICAL CENTER,AL,READM-30-HF-HRRP,0.9786,97.0,18.0,670.0
2021,10103,PRINCETON BAPTIST MEDICAL CENTER,AL,READM-30-AMI-HRRP,0.9786,229.0,33.0,437.0
2021,10103,PRINCETON BAPTIST MEDICAL CENTER,AL,READM-30-CABG-HRRP,1.0831,137.0,20.0,371.0
2021,10103,PRINCETON BAPTIST MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9992,231.0,45.0,673.0
2021,10103,PRINCETON BAPTIST MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0629,389.0,97.0,1275.0
2021,10103,PRINCETON BAPTIST MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0434,266.0,54.0,1137.0
2021,10104,GRANDVIEW MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,1.4544,804.0,54.0,1069.0
2021,10104,GRANDVIEW MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.0379,298.0,51.0,769.0
2021,10104,GRANDVIEW MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0755,490.0,95.0,1341.0
2021,10104,GRANDVIEW MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.0355,267.0,60.0,984.0
2021,10104,GRANDVIEW MEDICAL CENTER,AL,READM-30-CABG-HRRP,1.056,126.0,18.0,329.0
2021,10104,GRANDVIEW MEDICAL CENTER,AL,READM-30-HF-HRRP,0.9688,606.0,128.0,604.0
2021,10108,PRATTVILLE BAPTIST HOSPITAL,AL,READM-30-COPD-HRRP,0.9747,255.0,47.0,472.0
2021,10108,PRATTVILLE BAPTIST HOSPITAL,AL,READM-30-HF-HRRP,0.9721,208.0,43.0,625.0
2021,10108,PRATTVILLE BAPTIST HOSPITAL,AL,READM-30-PN-HRRP,1.011,259.0,44.0,890.0
2021,10112,WHITFIELD REGIONAL HOSPITAL,AL,READM-30-HF-HRRP,1.0231,56.0,12.0,1005.0
2021,10113,MOBILE INFIRMARY MEDICAL CENTER,AL,READM-30-CABG-HRRP,1.2123,103.0,20.0,500.0
2021,10113,MOBILE INFIRMARY MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.0581,468.0,104.0,1144.0
2021,10113,MOBILE INFIRMARY MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.0425,227.0,39.0,789.0
2021,10113,MOBILE INFIRMARY MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0305,683.0,121.0,1041.0
2021,10113,MOBILE INFIRMARY MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0701,711.0,165.0,1314.0
2021,10113,MOBILE INFIRMARY MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,0.8813,574.0,17.0,218.0
2021,10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,READM-30-COPD-HRRP,0.9482,168.0,26.0,278.0
2021,10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,READM-30-PN-HRRP,0.8941,285.0,34.0,133.0
2021,10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,READM-30-HF-HRRP,1.0278,137.0,35.0,1039.0
2021,10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,READM-30-COPD-HRRP,0.9817,116.0,19.0,526.0
2021,10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,READM-30-PN-HRRP,0.9543,221.0,32.0,458.0
2021,10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,READM-30-HF-HRRP,1.0919,223.0,56.0,1419.0
2021,10120,MONROE COUNTY HOSPITAL,AL,READM-30-PN-HRRP,1.0003,106.0,15.0,810.0
2021,10120,MONROE COUNTY HOSPITAL,AL,READM-30-COPD-HRRP,1.0205,52.0,11.0,862.0
2021,10120,MONROE COUNTY HOSPITAL,AL,READM-30-HF-HRRP,1.0119,73.0,14.0,922.0
2021,10125,LAKELAND COMMUNITY HOSPITAL,AL,READM-30-COPD-HRRP,0.8708,347.0,38.0,15.0
2021,10125,LAKELAND COMMUNITY HOSPITAL,AL,READM-30-PN-HRRP,0.8796,485.0,49.0,82.0
2021,10126,TROY REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.0316,84.0,16.0,953.0
2021,10126,TROY REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0387,106.0,19.0,1106.0
2021,10126,TROY REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0114,66.0,13.0,917.0
2021,10128,JACKSON MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0323,71.0,11.0,1056.0
2021,10128,JACKSON MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0657,38.0,11.0,1292.0
2021,10129,NORTH BALDWIN INFIRMARY,AL,READM-30-PN-HRRP,1.0528,110.0,23.0,1198.0
2021,10129,NORTH BALDWIN INFIRMARY,AL,READM-30-HF-HRRP,1.0185,56.0,13.0,971.0
2021,10130,ST VINCENT'S ST CLAIR,AL,READM-30-COPD-HRRP,1.0097,139.0,27.0,768.0
2021,10130,ST VINCENT'S ST CLAIR,AL,READM-30-HF-HRRP,1.0055,93.0,19.0,876.0
2021,10130,ST VINCENT'S ST CLAIR,AL,READM-30-PN-HRRP,0.9035,244.0,27.0,169.0
2021,10131,CRESTWOOD MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.0242,346.0,64.0,893.0
2021,10131,CRESTWOOD MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.055,168.0,29.0,858.0
2021,10131,CRESTWOOD MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,1.1767,863.0,43.0,888.0
2021,10131,CRESTWOOD MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9931,540.0,82.0,754.0
2021,10131,CRESTWOOD MEDICAL CENTER,AL,READM-30-HF-HRRP,0.935,341.0,60.0,376.0
2021,10139,BROOKWOOD BAPTIST MEDICAL CENTER,AL,READM-30-CABG-HRRP,1.2769,130.0,25.0,525.0
2021,10139,BROOKWOOD BAPTIST MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.0171,207.0,31.0,644.0
2021,10139,BROOKWOOD BAPTIST MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.0097,272.0,54.0,768.0
2021,10139,BROOKWOOD BAPTIST MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0482,370.0,63.0,1163.0
2021,10139,BROOKWOOD BAPTIST MEDICAL CENTER,AL,READM-30-HIP-KNEE-HRRP,1.169,490.0,24.0,873.0
2021,10139,BROOKWOOD BAPTIST MEDICAL CENTER,AL,READM-30-HF-HRRP,0.9519,293.0,55.0,484.0
2021,10144,SPRINGHILL MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.0288,132.0,20.0,716.0
2021,10144,SPRINGHILL MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.1502,238.0,58.0,1408.0
2021,10144,SPRINGHILL MEDICAL CENTER,AL,READM-30-HF-HRRP,1.1039,450.0,108.0,1469.0
2021,10144,SPRINGHILL MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0845,331.0,58.0,1382.0
2021,10148,EVERGREEN MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9718,200.0,27.0,446.0
2021,10148,EVERGREEN MEDICAL CENTER,AL,READM-30-PN-HRRP,1.1539,174.0,40.0,1595.0
2021,10148,EVERGREEN MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0637,111.0,25.0,1280.0
2021,10149,BAPTIST MEDICAL CENTER EAST,AL,READM-30-COPD-HRRP,0.9908,212.0,42.0,601.0
2021,10149,BAPTIST MEDICAL CENTER EAST,AL,READM-30-HF-HRRP,0.9404,262.0,50.0,409.0
2021,10149,BAPTIST MEDICAL CENTER EAST,AL,READM-30-PN-HRRP,0.9985,296.0,47.0,792.0
2021,10150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,AL,READM-30-HF-HRRP,1.0675,57.0,16.0,1302.0
